id,ccr_codigo,outros
611,7700,1
478,6651,1
295,7973,1
558,7818b,1
123,7988,1
554,7525,1
274,6622,1
331,6581,1
289,7098,1
303,7258,1
285,6768,1
754,8079,1
561,7930,1
228,7765,1
132,7818,1
146,7358,1
630,7792,1
489,6833,1
231,7191,1
341,7887,1
390,7751,1
283,6702,1
242,7719,1
222,7961,1
423,7179,1
565,6824,1
590,7572,1
333,7784,1
434,8028,1
448,7501,1
592,7574,1
369,7383,1
493,6882,1
573,7533,1
544,8004,1
212,7558,1
593,7575,1
454,8002,1
517,7162,1
128,7847,1
503,7264,1
139,6893,1
707,8015,1
516,6895,1
299,6745,1
190,6950,1
371,7966,1
624,7713,1
436,6822,1
433,7997,1
512,6815,1
373,7748,1
262,7967,1
107,7271,1
458,6623,1
406,7995,1
158,7769,1
247,6607,1
627,7789,1
540,7813,1
261,7726,1
374,7749,1
345,7983,1
518,7257,1
196,7556,1
464,7787,1
463,7952,1
429,7772,1
315,6761,1
761,8085,1
414,7770,1
410,6747,1
142,7865,1
245,6585,1
570,7529,1
563,8022,1
483,7505,1
280,7806,1
311,7977,1
221,7958,1
412,7756,1
532,7832,1
469,7907,1
151,7543,1
157,6577,1
346,7984,1
126,7539,1
444,7099,1
457,7798,1
224,7844,1
400,7917,1
230,6996,1
329,7882,1
104,7777,1
127,7827,1
430,7773,1
327,7880,1
135,6717,1
421,7843,1
525,7812,1
340,7883,1
569,7278,1
531,7781,1
94,7391,1
365,6608,1
352,7157,1
313,6732,1
296,7974,1
420,6586,1
605,7594,1
308,7876,1
183,6881,1
401,7919,1
337,7236,1
236,7861,1
763,8087,1
424,7299,1
398,6614,1
547,7780,1
562,7931,1
386,7238,1
509,7923,1
318,7159,1
533,7834,1
287,6792,1
306,7872,1
467,7801,1
394,7897,1
100,7804,1
93,7390,1
265,7971,1
643,7914,1
397,6740,1
391,7752,1
326,8027,1
187,7281,1
465,7788,1
186,6978,1
736,8057,1
415,7898,1
258,7921,1
521,7513,1
259,7724,1
237,7871,1
91,7195,1
106,7845,1
155,7937,1
206,7989,1
629,7791,1
545,6807,1
475,7800,1
461,7916,1
305,7734,1
556,7527,1
342,7888,1
456,6726,1
137,6888,1
383,7328,1
541,816,1
500,7864,1
293,7729,1
564,6811,1
425,7301,1
324,7738,1
538,7057,1
120,6889,1
388,7252,1
320,7272,1
704,8012,1
479,7785,1
314,6754,1
