,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,31,32,33,34,35,37,38,39,40,41,42,43,44,45,46,48,49,50,51,52,53,64,65,66,67,68,69,78,79
UFT.2014(L)6982,,+,w,+,+,+,-,,-,-,+,-,-,+,+,w,-,-,,+,-,+,w,+,+,-,+,+,-,+,+,-,-,-,-,,,,-,+,+,+,,,-,-,+,+,-,,+,+,,,,,
UFT.2014(L)6986,,+,w,+,,+,+,-,-,+,+,,+,+,+,-,-,-,-,w,-,+,w,,+,-,+,w,-,+,+,-,-,-,-,-,-,-,-,+,+,+,,,-,-,+,+,+,,+,+,,,,,
UFT.2014(L)6990,,+,-,+,+,+,+,-,-,+,+,+,-,+,-,-,+,+,+,+,+,+,-,+,+,+,+,-,+,+,+,+,+,+,+,-,-,-,-,+,+,+,,,,,,,,,,,,,,,
UFT.2014(L)6996,,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,w,+,+,-,-,-,-,-,-,-,-,-,w,-,+,+,,,-,-,+,+,+,-,-,-,-,-,w,-,-
UFT.2014(L)7006,,-,-,-,-,-,-,-,-,-,-,-,,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,+,,,-,-,+,+,+,-,-,-,+,-,+,+,+
UFT.2014(L)7019,,-,-,-,+,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7021,,+,w,+,+,+,+,-,-,-,+,-,+,+,-,-,+,+,+,+,+,+,-,+,+,+,+,+,-,+,+,-,-,-,+,-,-,-,+,+,-,+,,,+,-,+,+,-,-,-,-,-,-,+,,
UFT.2014(L)7031,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,-,-,-,-,-,+,+,+,+,+,+,-,-,+,+,-,-,-,+,-,+,-,+,+,+,+,,,-,-,+,+,-,-,+,+,+,+,+,+,+
UFT.2014(L)7049,,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,,,-,-,+,+,-,,-,,,,,,
UFT.2014(L)7052,,+,+,-,-,w,-,-,-,w,-,-,w,+,-,-,w,-,+,-,-,-,+,-,-,-,+,+,+,+,+,-,-,+,+,+,-,-,-,+,-,+,,,-,-,+,+,+,-,-,-,+,+,+,-,-
UFT.2014(L)7053,,-,+,-,-,-,-,-,-,+,w,w,+,+,-,+,-,-,+,+,+,-,-,+,-,-,+,+,+,+,+,+,+,+,+,-,-,-,-,+,-,+,,,-,-,+,+,+,-,-,-,+,-,+,-,-
UFT.2014(L)7054,,+,+,+,+,+,+,-,-,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7057,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7098,,+,+,+,+,+,+,-,-,+,+,-,-,+,+,+,+,-,+,+,-,+,w,+,+,+,+,+,-,+,+,-,-,+,+,-,w,-,+,+,+,+,,,-,-,+,+,-,-,+,+,-,+,+,+,-
UFT.2014(L)7099,,+,+,+,+,+,+,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7153,,-,-,+,+,+,+,-,-,-,+,-,-,+,+,-,-,+,-,+,-,-,+,+,+,+,+,+,+,+,+,+,-,-,+,-,-,-,+,-,-,+,,,-,-,+,+,-,-,-,-,+,+,+,-,-
UFT.2014(L)7154,,+,+,+,+,+,-,-,-,-,+,-,-,+,+,w,-,-,,+,-,+,-,+,+,-,+,-,-,+,+,-,-,-,-,,,,w,+,+,+,,,-,-,+,+,-,,+,+,,,,,
UFT.2014(L)7156,,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,+,,,-,-,+,+,-,-,-,-,-,+,+,+,-
UFT.2014(L)7157,,w,-,w,-,-,-,+,-,-,-,-,-,-,-,-,-,-,,+,-,-,-,-,-,-,+,+,+,+,+,-,-,+,-,,,,-,-,-,+,,,-,-,+,+,-,,-,-,,,,,
UFT.2014(L)7158,,+,+,+,+,+,+,-,w,+,+,-,-,+,+,w,w,w,,+,-,+,+,+,+,+,+,+,+,+,+,-,-,+,+,-,+,-,+,+,+,+,,,,,,,,,,,,,,,
UFT.2014(L)7159,,w,+,+,+,+,+,-,-,-,+,,-,+,-,-,-,-,-,+,-,+,-,,+,w,+,+,-,+,+,+,w,-,-,-,-,-,+,,-,+,,,-,-,+,+,-,,-,-,,,,,
UFT.2014(L)7160,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,-,-,-,+,-,+,+,+,+,+,-,-,-,+,-,-,-,-,+,-,+,-,+,+,+,+,,,-,-,+,+,-,-,+,-,+,+,+,+,+
UFT.2014(L)7162,,+,+,+,+,+,+,-,+,+,+,w,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7179,,+,+,+,+,+,+,-,-,+,+,w,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7188,,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,-,-,+,-,+,,,-,-,+,+,-,-,-,-,+,-,+,+,+
UFT.2014(L)7189,,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,+,-,-,+,+,+,-,+,+,+,-,+,+,+,-,w,+,-,+,-,-,-,-,+,+,+,,,+,+,+,+,-,-,-,-,+,+,+,-,+
UFT.2014(L)7191,,-,+,-,-,-,-,-,-,-,-,-,-,+,w,-,-,-,+,w,-,-,,-,-,,+,+,+,+,+,-,-,-,+,-,-,-,-,-,-,+,,,-,-,+,+,+,-,-,-,+,-,+,-,-
UFT.2014(L)7192,,+,+,+,+,+,+,+,+,-,+,-,-,+,+,w,-,-,,+,-,+,-,+,+,-,+,+,-,+,+,-,-,-,-,,,,w,+,+,+,,,-,-,+,+,-,,-,+,,,,,
UFT.2014(L)7193,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7194,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7195,,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,+,,,-,-,+,+,-,-,-,-,-,+,+,-,-
UFT.2014(L)7196,,-,+,+,-,w,+,-,-,+,+,+,,+,-,-,-,-,-,+,-,-,-,+,-,+,-,+,+,+,+,-,-,+,+,-,-,-,-,-,+,+,,,-,-,+,+,+,-,-,-,+,-,+,-,-
UFT.2014(L)7197,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7198,,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,-,+,,,-,-,+,+,-,-,-,-,+,-,+,+,+
UFT.2014(L)7199,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7200,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7235,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7236,,+,+,+,+,+,+,-,w,+,+,-,-,+,+,w,+,-,,+,-,+,+,+,+,+,+,w,w,+,+,-,-,-,+,-,+,-,w,+,+,+,,,-,-,+,+,-,-,-,-,-,-,+,+,-
UFT.2014(L)7238,,+,+,+,+,+,+,-,+,+,+,w,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7240,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7242,,-,+,-,+,+,-,-,-,w,-,+,+,+,-,+,-,-,+,+,w,-,-,-,-,-,-,+,+,+,+,-,+,+,+,-,-,-,-,+,-,+,,,-,-,+,+,+,-,-,-,+,-,+,-,-
UFT.2014(L)7248,,+,+,+,+,+,-,+,-,-,+,-,-,+,+,w,-,-,,+,-,+,-,+,+,w,+,+,-,+,+,-,-,-,-,,,,w,+,-,+,,,-,-,+,+,-,,-,-,,,,,
UFT.2014(L)7249,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7251,,+,+,+,+,-,+,-,-,-,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7252,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7254,,-,+,-,+,-,-,-,-,w,-,+,+,+,-,+,-,-,+,+,w,-,-,-,-,-,-,+,+,+,+,-,+,+,+,-,-,-,-,+,-,+,,,-,-,+,+,+,-,-,-,+,-,+,-,-
UFT.2014(L)7255,,+,+,+,+,+,+,-,+,-,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7257,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7258,,w,+,+,+,+,+,+,-,-,+,-,-,w,+,+,+,+,,+,+,+,+,+,w,-,w,+,-,+,-,+,-,-,-,,,,+,-,-,+,,,+,+,+,+,-,,-,-,,,,,
UFT.2014(L)7259,,+,+,+,+,+,+,-,-,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7260,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7263,,+,+,+,+,+,+,-,-,-,+,-,-,+,-,-,-,+,-,-,-,+,-,+,+,+,+,+,-,+,+,-,-,-,+,-,+,-,+,+,-,+,,,-,-,+,+,-,-,-,+,+,-,+,-,+
UFT.2014(L)7264,,+,+,+,+,+,+,-,-,-,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7266,,+,+,+,+,+,+,-,-,-,+,-,-,+,-,-,-,+,-,-,-,-,-,+,+,-,+,+,-,+,-,-,-,-,+,-,-,-,-,+,-,+,,,-,-,+,+,-,+,-,-,+,-,+,-,+
UFT.2014(L)7268,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7269,,+,+,+,+,+,+,-,-,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7271,,+,-,+,+,+,+,-,-,-,+,-,-,+,-,-,-,+,-,-,-,+,-,+,+,+,+,+,-,+,-,-,-,-,+,-,+,-,-,+,-,+,,,-,-,+,+,-,-,-,+,+,-,+,-,+
UFT.2014(L)7272,,+,+,+,+,+,+,-,,+,+,-,w,+,+,w,-,w,,+,-,+,w,+,+,+,+,w,w,+,+,-,-,+,+,-,+,-,+,+,+,+,,,-,-,+,+,-,-,-,-,-,-,+,+,-
UFT.2014(L)7275,,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,+,+,-,-,+,+,-,-,-,-,-,-,+,,,-,-,+,+,+,-,-,-,+,+,-,-,-
UFT.2014(L)7277,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7278,,+,+,+,+,+,+,+,+,+,+,-,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,+,,,,,,,,,,,
UFT.2014(L)7281,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,-,-,-,+,-,+,+,+,+,+,+,+,-,+,+,-,-,+,-,-,-,-,w,+,+,+,,,-,-,+,+,-,-,+,+,+,+,+,+,-
UFT.2014(L)7299,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7301,,+,+,+,+,+,+,+,-,+,+,-,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,+,,,,,,,,,,,
UFT.2014(L)7328,,+,+,+,+,+,+,-,-,-,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7332,,+,+,+,+,-,+,-,-,-,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7333,,+,+,+,+,+,+,-,w,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7353,,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,,-,-,-,-,-,-,+,-,+,+,,,-,-,+,+,+,-,-,-,-,-,+,-,-
UFT.2014(L)7355,,+,-,+,+,+,+,-,-,+,+,+,-,+,-,-,-,+,-,-,-,+,-,+,+,+,+,-,+,+,+,-,-,+,+,-,-,-,-,+,-,+,,,-,-,+,+,+,-,+,-,-,+,+,-,-
UFT.2014(L)7356,,+,+,+,-,+,+,-,-,-,+,-,-,+,-,-,+,+,-,+,+,,+,+,+,+,+,+,,+,+,-,-,-,+,-,-,-,-,+,-,+,,,-,-,+,+,+,-,-,-,-,+,+,-,+
UFT.2014(L)7358,,+,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+,-,-,-,+,+,-,w,+,+,-,+,-,+,+,+,-,+,+,-,-,-,+,+,+,+,,,+,+,+,+,+,-,-,-,-,-,+,-,-
UFT.2014(L)7359,,+,+,+,+,+,+,-,-,-,+,-,-,+,-,-,-,-,,+,-,+,-,+,+,-,+,+,-,+,+,-,-,-,-,,,,w,+,-,+,,,-,-,+,+,-,-,-,-,+,+,-,-,-
UFT.2014(L)7362,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7363,,+,+,+,+,+,+,-,+,-,+,-,-,+,+,-,+,-,-,+,-,+,+,+,+,+,+,+,-,+,+,-,-,+,-,-,+,-,-,+,+,+,,,-,-,+,+,-,-,+,+,+,+,+,+,-
UFT.2014(L)7364,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,+,-,-,+,+,+,+,+,+,+,+,+,+,+,+,-,-,-,+,-,+,-,+,+,+,,,,+,-,+,+,-,-,+,-,+,+,+,+,+
UFT.2014(L)7365,,+,+,+,+,+,+,+,-,+,+,+,+,+,+,+,-,+,+,+,+,+,w,+,+,+,+,+,-,+,+,+,+,+,+,-,-,-,-,+,+,+,,,-,-,+,+,+,-,+,-,-,+,+,-,-
UFT.2014(L)7366,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,,,-,-,+,+,+,-,-,-,+,+,+,-,-
UFT.2014(L)7381,,-,+,-,-,+,+,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,+,-,-,-,-,+,-,+,,,-,-,+,+,+,-,-,-,+,-,+,-,-
UFT.2014(L)7382,,+,-,+,+,+,+,-,-,-,+,-,-,+,-,-,-,+,-,-,-,+,-,+,+,+,+,+,-,+,+,-,-,+,-,-,-,-,-,+,-,+,,,-,-,+,+,-,-,+,+,+,+,+,-,-
UFT.2014(L)7383,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,+,-,-,+,+,+,+,+,+,+,+,+,+,+,+,-,-,-,+,-,+,-,+,+,+,+,,,-,-,,,,,,,,,,,
UFT.2014(L)7384,,+,+,+,+,+,+,-,-,-,+,w,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7387,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7389,,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,,,,-,-,-,-,,,-,-,+,+,-,,-,-,,,,,
UFT.2014(L)7390,,-,+,-,+,+,-,-,-,-,-,-,-,+,-,,-,-,+,-,-,-,-,-,-,-,+,-,+,+,+,-,-,-,-,+,-,-,-,-,-,+,,,-,-,+,+,+,-,-,-,+,-,+,-,
UFT.2014(L)7391,,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,,,-,-,+,+,-,-,-,-,-,+,+,,
UFT.2014(L)7392,,-,-,-,+,-,-,-,-,-,-,-,-,+,-,,-,-,+,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,+,,,-,-,+,+,+,-,-,-,+,-,+,-,
UFT.2014(L)7393,,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,,-,-,,w,w,-,-,-,-,-,-,-,-,-,-,-,-,+,+,,,-,-,+,+,+,-,-,-,-,-,+,-,-
UFT.2014(L)7394,,+,+,+,-,+,+,+,-,-,+,-,+,+,+,+,+,-,+,+,-,w,w,+,+,-,w,+,+,,,-,-,-,,-,-,-,+,+,+,+,,,-,-,,,,,,,,,,,
UFT.2014(L)7395,,+,-,+,+,+,-,-,-,-,+,-,-,+,-,-,-,+,,-,-,+,-,+,+,-,+,-,-,+,+,-,-,-,-,,,,-,+,-,+,,,-,-,+,+,-,,-,-,,,,,
UFT.2014(L)7397,,w,+,-,-,+,-,,-,-,-,-,-,+,-,-,-,-,,w,-,-,-,-,-,-,-,w,+,+,+,-,-,-,-,,,,-,-,-,-,,,-,-,+,+,-,,-,-,,,,,
UFT.2014(L)7398,,+,+,+,+,+,+,+,w,-,+,,-,+,+,+,-,-,-,+,-,+,w,,+,w,+,+,-,+,+,+,w,-,-,-,-,-,+,,+,+,,,-,-,+,+,-,,+,+,,,,,
UFT.2014(L)7399,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7500,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7501,,+,+,+,-,+,+,-,-,-,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7503,,+,+,+,+,+,+,-,-,-,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7505,,-,-,-,-,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7507,,-,-,-,-,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7508,,-,-,-,-,-,-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7512,,-,-,-,-,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7513,,-,-,-,+,-,-,-,-,-,-,-,-,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7514,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7515,,-,+,-,-,-,-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7516,,-,-,-,-,+,-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7517,,+,+,+,+,+,+,+,-,+,+,-,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,+,,,,,,,,,,,
UFT.2014(L)7519,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7520,,+,+,+,+,+,+,-,-,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7524,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7525,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7526,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7527,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7528,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,+,-,-,+,+,+,+,+,+,+,+,+,+,+,+,-,-,-,+,-,-,-,+,+,+,+,,,-,-,+,+,-,-,-,-,+,+,+,-,+
UFT.2014(L)7529,,-,+,-,-,-,-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7531,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7532,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7533,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7534,,-,-,-,-,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7535,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,+,-,+,,,-,-,+,+,-,,-,,,,,,
UFT.2014(L)7536,,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,w,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,-,-,-,+,-,+,+,,,-,-,+,+,-,-,-,-,+,+,+,+,+
UFT.2014(L)7537,,-,+,-,+,-,-,-,-,+,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,-,-,+,-,+,,,,,,,,,,,,,,,
UFT.2014(L)7538,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,-,+,+,-,+,+,+,-,+,+,+,+,+,-,+,+,-,-,+,+,-,-,-,+,+,-,+,,,-,-,+,+,-,,-,,,,,,
UFT.2014(L)7539,,+,+,+,+,+,+,-,+,+,+,-,-,+,+,+,+,-,+,+,-,+,+,+,+,+,-,+,-,-,+,-,-,-,+,-,-,-,-,+,+,+,,,+,-,+,+,-,-,+,-,-,-,w,+,+
UFT.2014(L)7540,,-,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,+,,,-,-,+,+,+,-,-,-,+,-,w,-,-
UFT.2014(L)7541,,+,-,+,-,+,+,-,-,-,+,-,-,+,-,-,+,+,-,+,+,+,-,+,+,+,+,+,+,+,+,-,+,-,+,-,-,-,-,+,+,+,,,+,+,+,+,-,-,-,-,+,-,+,-,-
UFT.2014(L)7542,,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,+,+,-,-,-,-,-,-,-,+,-,-,+,,,-,-,+,+,-,-,-,-,-,+,+,+,+
UFT.2014(L)7543,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,-,+,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,-,-,+,-,+,-,+,+,-,+,,,-,-,+,+,-,-,+,-,+,+,+,+,+
UFT.2014(L)7546,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,-,+,,,-,-,+,+,-,-,-,-,-,+,+,+,+
UFT.2014(L)7547,,+,-,+,-,+,+,-,-,-,+,-,-,+,-,-,+,+,-,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,+,-,-,-,+,+,+,+,,,+,+,+,+,-,-,-,-,+,-,+,-,-
UFT.2014(L)7548,,+,-,+,+,+,+,+,-,-,+,-,-,+,w,-,-,+,,-,-,+,-,+,+,-,+,+,-,+,+,-,-,-,-,,,,-,+,-,+,,,-,-,+,+,-,,-,-,,,,,
UFT.2014(L)7549,,-,+,+,+,+,+,-,-,-,+,-,-,+,-,-,+,+,-,+,+,+,-,+,+,+,+,+,-,+,+,-,-,-,+,-,-,-,+,+,-,+,,,-,-,+,+,+,-,-,-,-,-,w,-,-
UFT.2014(L)7550,,-,-,-,-,+,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,,-,-,,,-,-,+,+,-,,-,-,,,,,
UFT.2014(L)7551,,+,+,+,+,+,+,-,-,-,+,-,-,+,-,-,-,-,+,+,-,+,-,+,+,+,+,+,-,+,+,-,+,-,+,-,-,-,+,+,-,+,,,-,-,+,+,-,-,-,-,-,-,+,-,-
UFT.2014(L)7552,,+,+,+,+,+,+,-,+,-,+,-,-,+,+,+,-,-,-,+,-,+,-,+,+,+,+,+,-,+,+,-,-,-,-,-,+,-,+,+,+,+,,,-,-,+,+,-,-,+,+,+,+,+,+,-
UFT.2014(L)7553,,w,-,+,+,+,+,-,-,-,+,-,-,+,+,-,-,-,-,+,-,+,-,+,+,-,+,+,+,+,+,-,-,-,-,-,+,-,+,+,-,+,,,-,-,+,+,-,-,-,-,+,-,+,+,-
