,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,31,32,33,34,35,37,38,39,40,41,42,43,44,45,46,48,49,50,51,52,53,64,65,66,67,68,69,78,79
UFT.2014(L)6606,,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,,,-,-,+,+,+,-,-,-,-,-,+,-,-
UFT.2014(L)6607,,-,-,-,-,+,-,+,-,w,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,w,+,-,-,+,-,-,-,-,-,-,-,-,-,+,+,,,-,-,+,+,+,-,-,-,-,-,+,-,-
UFT.2014(L)6608,,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,+,+,,-,-,-,-,-,-,-,-,-,-,-,+,+,,,-,-,+,+,-,-,-,-,+,+,+,-,-
UFT.2014(L)6609,,+,+,+,+,+,-,-,-,-,+,-,-,+,-,-,-,+,-,+,+,+,+,+,+,+,+,+,-,+,-,-,-,-,+,-,+,-,+,+,-,+,,,-,-,+,+,-,-,-,+,+,-,+,-,+
UFT.2014(L)6610,,+,-,+,,+,+,-,-,-,+,,-,+,-,-,-,-,-,-,-,+,-,,+,-,+,+,-,+,w,+,-,-,-,-,-,-,-,+,-,+,,,-,-,+,+,+,,-,-,,,,,
UFT.2014(L)6614,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6615,,+,+,+,+,+,+,+,-,+,+,-,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,+,,,,,,,,,,,
UFT.2014(L)6622,,+,+,+,+,+,-,-,-,-,+,-,-,+,+,w,-,-,,+,-,+,w,+,+,-,+,-,-,+,+,-,-,-,-,,,,w,+,+,+,,,-,-,+,+,-,,+,+,,,,,
UFT.2014(L)6623,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6624,,-,-,-,-,+,-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6626,,-,+,-,+,-,-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6644,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,+,+,,,-,-,+,+,+,+,-,-,-,-,+,-,-
UFT.2014(L)6645,,+,+,+,+,+,+,-,+,-,+,,-,+,+,+,-,-,-,+,-,+,+,,+,w,+,+,-,+,+,+,w,-,-,-,-,-,-,,+,+,,,-,-,+,+,-,,+,+,,,,,
UFT.2014(L)6647,,+,+,+,+,+,+,-,-,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6648,,+,-,+,+,+,+,-,-,+,+,+,-,+,-,-,-,+,+,+,-,+,,+,+,,+,+,-,+,+,-,-,+,+,-,-,-,-,-,-,+,,,-,-,+,+,+,-,+,-,-,+,+,-,-
UFT.2014(L)6649,,-,+,-,-,-,-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6650,,+,+,+,+,+,+,-,-,+,+,-,-,+,+,+,-,-,+,+,-,+,+,+,+,+,+,-,-,+,+,-,-,-,-,-,-,-,-,+,+,+,,,-,-,+,+,+,-,+,+,-,+,+,+,+
UFT.2014(L)6651,,-,-,-,+,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6700,,+,+,w,,+,+,-,-,-,+,,-,+,-,-,-,-,-,+,-,+,-,,+,-,+,+,+,+,w,+,+,-,-,-,-,-,-,+,-,+,,,-,-,+,+,+,,+,-,,,,,
UFT.2014(L)6702,,+,+,+,+,+,+,-,+,+,+,-,-,+,+,w,w,-,,+,-,+,+,+,+,+,+,w,-,+,+,-,-,+,+,w,+,-,w,+,+,+,,,-,-,+,+,-,-,-,-,-,-,+,+,-
UFT.2014(L)6705,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,+,-,+,-,+,,,-,-,+,+,+,-,-,-,+,-,w,+,+
