id,ccr_codigo,coleta,amostra,latitude,longitude,cidade,localidade,data_coleta,ano,equipe,substrato,nome_cientifico,uf,fermentacao,temperatura,outros,infogenetica
671,UFT.2015(L)8627,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
672,UFT.2015(L)8628,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
673,UFT.2015(L)8629,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
674,UFT.2015(L)8630,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
675,UFT.2015(L)8631,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,1
676,UFT.2015(L)8632,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
677,UFT.2015(L)8633,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
678,UFT.2015(L)8634,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
679,UFT.2015(L)8635,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
680,UFT.2015(L)8636,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
681,UFT.2015(L)8637,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
682,UFT.2015(L)8638,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
683,UFT.2015(L)8639,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
684,UFT.2015(L)8640,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
685,UFT.2015(L)8641,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
686,UFT.2015(L)8642,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
687,UFT.2015(L)8643,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
688,UFT.2015(L)8644,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
689,UFT.2015(L)8645,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
690,UFT.2015(L)8646,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
691,UFT.2015(L)8647,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
692,UFT.2015(L)8648,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
693,UFT.2015(L)8649,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,1
694,UFT.2015(L)8650,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
695,UFT.2015(L)8651,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
696,UFT.2015(L)8652,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,1
