id,ano,ccr,amostra,coleta,latitude,longitude,data_coleta,localidade,equipe,substrato,nome_cientifico,cidade,uf
38,2015,8537,JHF.BA.004.001,JHF.BA.004,-14.718.120,-52.362.947,2015-08-13,Córrego Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
39,2015,8538,JHF.BA.005.001,JHF.BA.005,-14.718.320,-52.362.337,2015-08-13,Córrego Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
58,2015,8557,JHF.BA.006.001,JHF.BA.006,-14.718.401,-52.361.959,2015-08-13,Córrego Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
40,2015,8539,JHF.BA.007.001,JHF.BA.007,-14.718.543,-52.361.896,2015-08-13,Córrego Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
42,2015,8541,JHF.BA.008.002,JHF.BA.008,-14.718.548,-52.361.735,2015-08-13,Córrego Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
43,2015,8542,JHF.BA.008.003,JHF.BA.008,-14.718.548,-52.361.735,2015-08-13,Córrego Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
41,2015,8540,JHF.BA.008.001,JHF.BA.008,-14.718.548,-52.361.735,2015-08-13,Córrego Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
2,2015,8501,JHF.BU.001.002,JHF.BU.001,-14.681.193,-52.367.863,2015-08-10,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
3,2015,8502,JHF.BU.001.002,JHF.BU.001,-14.681.193,-52.367.863,2015-08-10,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
1,2015,8500,JHF.BU.001.001,JHF.BU.001,-14.681.193,-52.367.863,2015-08-10,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
31,2015,8530,JHF.BU.002.001,JHF.BU.002,-14.681.273,-52.367.834,2015-08-10,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
32,2015,8531,JHF.BU.002.001,JHF.BU.002,-14.681.273,-52.367.834,2015-08-10,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
30,2015,8529,JHF.BU.002.001,JHF.BU.002,-14.681.273,-52.367.834,2015-08-10,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
33,2015,8532,JHF.BU.002.002,JHF.BU.002,-14.681.273,-52.367.834,2015-08-10,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
34,2015,8533,JHF.BU.002.002,JHF.BU.002,-14.681.273,-52.367.834,2015-08-10,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
35,2015,8534,JHF.BU.002.003,JHF.BU.002,-14.681.273,-52.367.834,2015-08-10,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
36,2015,8535,JHF.BU.002.003,JHF.BU.002,-14.681.273,-52.367.834,2015-08-10,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
37,2015,8536,JHF.BU.002.004,JHF.BU.002,-14.681.273,-52.367.834,2015-08-10,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
4,2015,8503,JHF.BU.003.001,JHF.BU.003,-14.681.243,-52.367.831,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
6,2015,8505,JHF.BU.003.003,JHF.BU.003,-14.681.243,-52.367.831,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
7,2015,8506,JHF.BU.003.003,JHF.BU.003,-14.681.243,-52.367.831,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
8,2015,8507,JHF.BU.003.004,JHF.BU.003,-14.681.243,-52.367.831,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
9,2015,8508,JHF.BU.003.005,JHF.BU.003,-14.681.243,-52.367.831,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
5,2015,8504,JHF.BU.003.002,JHF.BU.003,-14.681.243,-52.367.831,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
10,2015,8509,JHF.BU.004.001,JHF.BU.004,-14.681.175,-52.367.956,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
11,2015,8510,JHF.BU.004.001,JHF.BU.004,-14.681.175,-52.367.956,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
13,2015,8512,JHF.BU.005.001,JHF.BU.005,-14.681.177,-52.368.049,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
12,2015,8511,JHF.BU.005.001,JHF.BU.005,-14.681.177,-52.368.049,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
14,2015,8513,JHF.BU.005.002,JHF.BU.005,-14.681.177,-52.368.049,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
15,2015,8514,JHF.BU.005.002,JHF.BU.005,-14.681.177,-52.368.049,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
16,2015,8515,JHF.BU.006.001,JHF.BU.006,-14.681.129,-52.368.103,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
17,2015,8516,JHF.BU.006.001,JHF.BU.006,-14.681.129,-52.368.103,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
18,2015,8517,JHF.BU.006.002,JHF.BU.006,-14.681.129,-52.368.103,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
19,2015,8518,JHF.BU.006.002,JHF.BU.006,-14.681.129,-52.368.103,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
20,2015,8519,JHF.BU.007.001,JHF.BU.007,-14.681.300,-52.368.194,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
21,2015,8520,JHF.BU.007.001,JHF.BU.007,-14.681.300,-52.368.194,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
22,2015,8521,JHF.BU.007.002,JHF.BU.007,-14.681.300,-52.368.194,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
23,2015,8522,JHF.BU.008.001,JHF.BU.008,-14.681.421,-52.367.674,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
24,2015,8523,JHF.BU.008.002,JHF.BU.008,-14.681.421,-52.367.674,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
25,2015,8524,JHF.BU.008.002,JHF.BU.008,-14.681.421,-52.367.674,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
26,2015,8525,JHF.BU.008.002,JHF.BU.008,-14.681.421,-52.367.674,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
28,2015,8527,JHF.BU.008.002,JHF.BU.008,-14.681.421,-52.367.674,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
29,2015,8528,JHF.BU.008.002,JHF.BU.008,-14.681.421,-52.367.674,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
27,2015,8526,JHF.BU.008.002,JHF.BU.008,-14.681.421,-52.367.674,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
51,2015,8550,JHF.PB.001.001,JHF.PB.001,-14.688.213,-52.341.981,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
52,2015,8551,JHF.PB.001.002,JHF.PB.001,-14.688.213,-52.341.981,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
53,2015,8552,JHF.PB.001.002,JHF.PB.001,-14.688.213,-52.341.981,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
75,2015,8574,JHF.PB.002.001,JHF.PB.002,-14.688.202,-52.341.848,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
76,2015,8575,JHF.PB.002.001,JHF.PB.002,-14.688.202,-52.341.848,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
44,2015,8543,JHF.PB.003.001,JHF.PB.003,-14.688.268,-52.341.863,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
45,2015,8544,JHF.PB.004.001,JHF.PB.004,-14.688.278,-52.341.703,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
46,2015,8545,JHF.PB.004.001,JHF.PB.004,-14.688.278,-52.341.703,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
47,2015,8546,JHF.PB.004.002,JHF.PB.004,-14.688.278,-52.341.703,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
48,2015,8547,JHF.PB.004.002,JHF.PB.004,-14.688.278,-52.341.703,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
49,2015,8548,JHF.PB.004.003,JHF.PB.004,-14.688.278,-52.341.703,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
50,2015,8549,JHF.PB.004.004,JHF.PB.004,-14.688.278,-52.341.703,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
74,2015,8573,JHF.PB.005.001,JHF.PB.005,-14.688.683,-52.341.708,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
79,2015,8578,JHF.PB.006.001,JHF.PB.006,-14.688.414,-52.341.949,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
80,2015,8579,JHF.PB.006.001,JHF.PB.006,-14.688.414,-52.341.949,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
81,2015,8580,JHF.PB.006.002,JHF.PB.006,-14.688.414,-52.341.949,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
77,2015,8576,JHF.PB.007.001,JHF.PB.007,-14.688.211,-52.342.028,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
78,2015,8577,JHF.PB.007.001,JHF.PB.007,-14.688.211,-52.342.028,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT
82,2014,6555,ANA.CAN.001.001,ANA.CAN.001,-9.978.136,-5.004.615,2014-01-24,Centro de Pesquisa Canguçú (Pium-TO),Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,Pium,TO
83,2014,6817,ANA.CAN.001.001,ANA.CAN.001,-9.978.136,-5.004.615,2014-01-24,Centro de Pesquisa Canguçú (Pium-TO),Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,Pium,TO
84,2014,6948,ANA.CAN.001.001,ANA.CAN.001,-9.978.136,-5.004.615,2014-01-24,Centro de Pesquisa Canguçú (Pium-TO),Ana Paula Guimarães,Fruto de Buriti,Mauritia flexuosa,Pium,TO
