id,ano,ccr,ccr_codigo,amostra,coleta,latitude,longitude,data_coleta,localidade,equipe,substrato,nome_cientifico,cidade,uf,microorganismo,instituicao,fermentacao,temperatura,outros,infogenetica,database_internacional,similaridade_indice,identificacao_taxonomica,acession,url_referencia,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,31,32,33,34,35,37,38,39,40,41,42,43,44,45,46,48,49,50,51,52,53,64,65,66,67,68,69,78,79
11,2015,8510,UFT.2015(L)8510,JHF.BU.004.001,JHF.BU.004,-14681175,-52367956,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,CBS,99.45,Candida carpophila,CBS 5258,,,+,+,+w,+,+,-+,-,+w,+w,-+,-c,-c,+,+,-+,+w,-c,+,+,-,+w,+w,-+,-+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2015,8511,UFT.2015(L)8511,JHF.BU.005.001,JHF.BU.005,-14681177,-52368049,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,GENBANK,99.0,Candida sp,KF830183.1,https://www.ncbi.nlm.nih.gov/nuccore/KF830183.1,,+,+,+,c,c,+,-,-,c,+,-,+,+,c,c,-,-,d,+,c,+,-,c,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2015,8512,UFT.2015(L)8512,JHF.BU.005.001,JHF.BU.005,-14681177,-52368049,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,GENBANK,99.0,Hanseniaspora opuntiae,FM180549.1,https://www.ncbi.nlm.nih.gov/nuccore/FM180549.1,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2015,8513,UFT.2015(L)8513,JHF.BU.005.002,JHF.BU.005,-14681177,-52368049,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2015,8514,UFT.2015(L)8514,JHF.BU.005.002,JHF.BU.005,-14681177,-52368049,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,GENBANK,99.0,Hanseniaspora opuntiae,FM180549.1,https://www.ncbi.nlm.nih.gov/nuccore/FM180549.1,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2015,8515,UFT.2015(L)8515,JHF.BU.006.001,JHF.BU.006,-14681129,-52368103,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,GENBANK,99.0,Candida carpophila,FM180531.1,https://www.ncbi.nlm.nih.gov/nuccore/FM180531.1,,+,+,+w,+,+,-+,-,+w,+w,-+,-c,-c,+,+,-+,+w,-c,+,+,-,+w,+w,-+,-+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2015,8516,UFT.2015(L)8516,JHF.BU.006.001,JHF.BU.006,-14681129,-52368103,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,CBS,99.66,Hanseniaspora opuntiae,CBS 9791,,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2015,8517,UFT.2015(L)8517,JHF.BU.006.002,JHF.BU.006,-14681129,-52368103,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,GENBANK,99.0,Candida aff. aaseri,JX984575.1,https://www.ncbi.nlm.nih.gov/nuccore/JX984575.1,,-c,+,+,+,+,+,+,-,-,+,-,-,+,+,-,+,-,+,+,+,+,-,+,+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2015,8518,UFT.2015(L)8518,JHF.BU.006.002,JHF.BU.006,-14681129,-52368103,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2015,8519,UFT.2015(L)8519,JHF.BU.007.001,JHF.BU.007,-14681300,-52368194,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,GENBANK,99.0,Hanseniaspora opuntiae,FM180549.1,https://www.ncbi.nlm.nih.gov/nuccore/FM180549.1,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2015,8520,UFT.2015(L)8520,JHF.BU.007.001,JHF.BU.007,-14681300,-52368194,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,GENBANK,100.0,Pichia sp,LC126429.1,https://www.ncbi.nlm.nih.gov/nuccore/LC126429.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2015,8521,UFT.2015(L)8521,JHF.BU.007.002,JHF.BU.007,-14681300,-52368194,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,GENBANK,99.0,Hanseniaspora opuntiae,FM180549.1,https://www.ncbi.nlm.nih.gov/nuccore/FM180549.1,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2015,8522,UFT.2015(L)8522,JHF.BU.008.001,JHF.BU.008,-14681421,-52367674,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,CBS,100.0,Candida akabanensis,CBS 7879,,,-w,+w,+,+,-+,+,-,-,+,+,+,-,+,-,d,-w,+,+,+,-,+,-,+,+,+,+,+,-,+,+,-,-,+,+w,,,-,+,+,,,,,,,,,,,,,,,,,
24,2015,8523,UFT.2015(L)8523,JHF.BU.008.002,JHF.BU.008,-14681421,-52367674,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,CBS,99.83,Candida oleophila,CBS 8269,,,+,+,+,+,+,-,-,-,-,+,-,-,+,-,-+,-+,-,+,+,-,+,-,+,+,-+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2015,8524,UFT.2015(L)8524,JHF.BU.008.002,JHF.BU.008,-14681421,-52367674,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,GENBANK,99.0,Hanseniaspora opuntiae,FM180549.1,https://www.ncbi.nlm.nih.gov/nuccore/FM180549.1,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2015,8525,UFT.2015(L)8525,JHF.BU.008.002,JHF.BU.008,-14681421,-52367674,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,GENBANK,99.0,Candida sp,KF830183.1,https://www.ncbi.nlm.nih.gov/nuccore/KF830183.1,,+,+,+,c,c,+,-,-,c,+,-,+,+,c,c,-,-,d,+,c,+,-,c,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2015,8526,UFT.2015(L)8526,JHF.BU.008.002,JHF.BU.008,-14681421,-52367674,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2015,8527,UFT.2015(L)8527,JHF.BU.008.002,JHF.BU.008,-14681421,-52367674,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,GENBANK,100.0,Pichia sp,LC126429.1,https://www.ncbi.nlm.nih.gov/nuccore/LC126429.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2015,8528,UFT.2015(L)8528,JHF.BU.008.002,JHF.BU.008,-14681421,-52367674,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2015,8529,UFT.2015(L)8529,JHF.BU.002.001,JHF.BU.002,-14681273,-52367834,2015-08-10,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,CBS,99.83,Candida carpophila,CBS 5256,,,+,+,+w,+,+,-+,-,+w,+w,-+,-c,-c,+,+,-+,+w,-c,+,+,-,+w,+w,-+,-+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2015,8530,UFT.2015(L)8530,JHF.BU.002.001,JHF.BU.002,-14681273,-52367834,2015-08-10,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,GENBANK,99.0,Candida carpophila,FM180531.1,https://www.ncbi.nlm.nih.gov/nuccore/FM180531.1,,+,+,+w,+,+,-+,-,+w,+w,-+,-c,-c,+,+,-+,+w,-c,+,+,-,+w,+w,-+,-+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2015,8531,UFT.2015(L)8531,JHF.BU.002.001,JHF.BU.002,-14681273,-52367834,2015-08-10,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,0,,,,,,,+,-+,+,+,+,+,-,-c,c,-,-,+,+,c,-+,+w,-,-+,-c,-,+,-c,-c,+,+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2015,8532,UFT.2015(L)8532,JHF.BU.002.002,JHF.BU.002,-14681273,-52367834,2015-08-10,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,CBS,99.45,Candida carpophila,CBS 5258,,,+,+,+w,+,+,-+,-,+w,+w,-+,-c,-c,+,+,-+,+w,-c,+,+,-,+w,+w,-+,-+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2015,8533,UFT.2015(L)8533,JHF.BU.002.002,JHF.BU.002,-14681273,-52367834,2015-08-10,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2015,8534,UFT.2015(L)8534,JHF.BU.002.003,JHF.BU.002,-14681273,-52367834,2015-08-10,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2015,8535,UFT.2015(L)8535,JHF.BU.002.003,JHF.BU.002,-14681273,-52367834,2015-08-10,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,CBS,99.66,Hanseniaspora opuntiae,CBS 9791,,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2015,8536,UFT.2015(L)8536,JHF.BU.002.004,JHF.BU.002,-14681273,-52367834,2015-08-10,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,GENBANK,99.0,Issatchenkia siamensis,JQ672607.1,https://www.ncbi.nlm.nih.gov/nuccore/JQ672607.1,,+w,-,+,+,+w,+w,-,-,+w,+w,-,+w,+w,-,-,-,-,+,+,+w,-,-,+w,+w,+w,+w,-,+,+,-,-,-,-,+w,,,+w,-,-,,,,,,,,,,,,,,,,,
38,2015,8537,UFT.2015(L)8537,JHF.BA.004.001,JHF.BA.004,-14718120,-52362947,2015-08-13,Córrego Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2015,8538,UFT.2015(L)8538,JHF.BA.005.001,JHF.BA.005,-14718320,-52362337,2015-08-13,Córrego Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,CBS,99.66,Hanseniaspora opuntiae,CBS 1807,,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2015,8539,UFT.2015(L)8539,JHF.BA.007.001,JHF.BA.007,-14718543,-52361896,2015-08-13,Córrego Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,GENBANK,99.0,Hanseniaspora opuntiae,FM180549.1,https://www.ncbi.nlm.nih.gov/nuccore/FM180549.1,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2015,8540,UFT.2015(L)8540,JHF.BA.008.001,JHF.BA.008,-14718548,-52361735,2015-08-13,Córrego Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,GENBANK,99.0,Issatchenkia siamensis,JQ672607.1,https://www.ncbi.nlm.nih.gov/nuccore/JQ672607.1,,+w,-,+,+,+w,+w,-,-,+w,+w,-,+w,+w,-,-,-,-,+,+,+w,-,-,+w,+w,+w,+w,-,+,+,-,-,-,-,+w,,,+w,-,-,,,,,,,,,,,,,,,,,
42,2015,8541,UFT.2015(L)8541,JHF.BA.008.002,JHF.BA.008,-14718548,-52361735,2015-08-13,Córrego Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,GENBANK,99.0,Hanseniaspora opuntiae,FM180549.1,https://www.ncbi.nlm.nih.gov/nuccore/FM180549.1,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2015,8542,UFT.2015(L)8542,JHF.BA.008.003,JHF.BA.008,-14718548,-52361735,2015-08-13,Córrego Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,CBS,99.66,Hanseniaspora opuntiae,KC111447,,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2015,8543,UFT.2015(L)8543,JHF.PB.003.001,JHF.PB.003,-14688268,-52341863,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,GENBANK,99.0,Candida sp,KF830183.1,https://www.ncbi.nlm.nih.gov/nuccore/KF830183.1,,+,+,+,c,c,+,-,-,c,+,-,+,+,c,c,-,-,d,+,c,+,-,c,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2015,8544,UFT.2015(L)8544,JHF.PB.004.001,JHF.PB.004,-14688278,-52341703,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,GENBANK,99.0,Aureobasidium thailandense,JX462674.1,https://www.ncbi.nlm.nih.gov/nuccore/JX462674.1,,+,+,+,+,+,+,-+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-+,+,+,-+,-+,+,-+,+,+,+,-,+,,,,,,,,,,,,,,,,,,,,,,,
46,2015,8545,UFT.2015(L)8545,JHF.PB.004.001,JHF.PB.004,-14688278,-52341703,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,GENBANK,99.0,Candida sp,KF830183.1,https://www.ncbi.nlm.nih.gov/nuccore/KF830183.1,,+,+,+,c,c,+,-,-,c,+,-,+,+,c,c,-,-,d,+,c,+,-,c,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2015,8546,UFT.2015(L)8546,JHF.PB.004.002,JHF.PB.004,-14688278,-52341703,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,GENBANK,99.0,Candida sp,KF830183.1,https://www.ncbi.nlm.nih.gov/nuccore/KF830183.1,,+,+,+,c,c,+,-,-,c,+,-,+,+,c,c,-,-,d,+,c,+,-,c,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2015,8547,UFT.2015(L)8547,JHF.PB.004.002,JHF.PB.004,-14688278,-52341703,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,CBS,99.63,Pichia jadinii ,CBS 4886,,,-,-,-,+,+,+,-,-,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2015,8548,UFT.2015(L)8548,JHF.PB.004.003,JHF.PB.004,-14688278,-52341703,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,GENBANK,100.0,Candida carpophila,FM180531.1,https://www.ncbi.nlm.nih.gov/nuccore/FM180531.1,,+,+,+w,+,+,-+,-,+w,+w,-+,-c,-c,+,+,-+,+w,-c,+,+,-,+w,+w,-+,-+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2015,8549,UFT.2015(L)8549,JHF.PB.004.004,JHF.PB.004,-14688278,-52341703,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,GENBANK,99.0,Candida diddensiae,U45750.1,https://www.ncbi.nlm.nih.gov/nuccore/U45750.1,,+,-+,-+,+,+,+,-,-,-,+,-,-,+,+,+,+,-,+,+,+,+,-,+,+,+,+,+,-,+,+,-,-,,,,,,,,,,,,,,,,,,,,,,,,
51,2015,8550,UFT.2015(L)8550,JHF.PB.001.001,JHF.PB.001,-14688213,-52341981,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,GENBANK,99.0,Meyerozyma guilliermondii,KM279364.1,https://www.ncbi.nlm.nih.gov/nuccore/KM279364.1,,+,+w,+,+,+w,+,-,-+,+,+,+w,-c,+,+,+w,+w,-c,+,+w,-+,+,-+,+w,-+,+,+w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2015,8551,UFT.2015(L)8551,JHF.PB.001.002,JHF.PB.001,-14688213,-52341981,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,GENBANK,100.0,Candida carpophila,FM180531.1,https://www.ncbi.nlm.nih.gov/nuccore/FM180531.1,,+,+,+w,+,+,-+,-,+w,+w,-+,-c,-c,+,+,-+,+w,-c,+,+w,-,+w,+w,-+,-+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2015,8552,UFT.2015(L)8552,JHF.PB.001.002,JHF.PB.001,-14688213,-52341981,2015-08-11,Parque Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2015,8553,UFT.2015(L)8553,JHF.BA.001.003,JHF.BA.001,-14717639,-52363527,2015-08-13,Córrego Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,GENBANK,99.0,Candida sp,KF830183.1,https://www.ncbi.nlm.nih.gov/nuccore/KF830183.1,,+,+,+,c,c,+,-,-,c,+,-,+,+,c,c,-,-,d,+,c,+,-,c,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2015,8554,UFT.2015(L)8554,JHF.BA.003.001,JHF.BA.003,-14716787,-52364523,2015-08-13,Córrego Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,GENBANK,99.0,Candida sp,AY520326.1,https://www.ncbi.nlm.nih.gov/nuccore/AY520326.1,,+,+,+,+,c,+,-,-,-,+,-,-,+,-,-,-,-,+,+,-,+,-,+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
