id,ano,ccr,ccr_codigo,amostra,coleta,latitude,longitude,data_coleta,localidade,equipe,substrato,nome_cientifico,cidade,uf,microorganismo,instituicao,fermentacao,temperatura,outros,infogenetica,database_internacional,similaridade_indice,identificacao_taxonomica,acession,url_referencia,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,31,32,33,34,35,37,38,39,40,41,42,43,44,45,46,48,49,50,51,52,53,64,65,66,67,68,69,78,79
1,2015,8500,UFT.2015(L)8500,JHF.BU.001.001,JHF.BU.001,-14681193,-52367863,2015-08-10,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2015,8501,UFT.2015(L)8501,JHF.BU.001.002,JHF.BU.001,-14681193,-52367863,2015-08-10,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,GENBANK,99.0,Candida naeodendra,KC798430.1,https://www.ncbi.nlm.nih.gov/nuccore/KC798430.1,,+,+,-,-,+,+,-,-,-,+,-,-,+,+,+,+,+,+,+,+,+,-,+,+,+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2015,8502,UFT.2015(L)8502,JHF.BU.001.002,JHF.BU.001,-14681193,-52367863,2015-08-10,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2015,8503,UFT.2015(L)8503,JHF.BU.003.001,JHF.BU.003,-14681243,-52367831,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,GENBANK,100.0,Candida carpophila,FM180531.1,https://www.ncbi.nlm.nih.gov/nuccore/FM180531.1,,+,+,+w,+,+,-+,-,+w,+w,-+,-c,-c,+,+,-+,+w,-c,+,+,-,+w,+w,-+,-+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2015,8504,UFT.2015(L)8504,JHF.BU.003.002,JHF.BU.003,-14681243,-52367831,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2015,8505,UFT.2015(L)8505,JHF.BU.003.003,JHF.BU.003,-14681243,-52367831,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,GENBANK,99.0,Candida parapsilosis,FJ746057.1,https://www.ncbi.nlm.nih.gov/nuccore/FJ746057.1,,-+,+,-+,-+,-,+,-+,-,-,+,-,-,+,+,-+,-+,-,+,+,-,+,-,+,+,+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2015,8506,UFT.2015(L)8506,JHF.BU.003.003,JHF.BU.003,-14681243,-52367831,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,CBS,99.66,Hanseniaspora opuntiae,CBS 1807,,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2015,8507,UFT.2015(L)8507,JHF.BU.003.004,JHF.BU.003,-14681243,-52367831,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,0,,,,,,,+,+,+,+,+,+,-,-,-,+,-,-,+,-,-,+,c,+,+,+,+,-,+,+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2015,8508,UFT.2015(L)8508,JHF.BU.003.005,JHF.BU.003,-14681243,-52367831,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2015,8509,UFT.2015(L)8509,JHF.BU.004.001,JHF.BU.004,-14681175,-52367956,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,L,UFT,0,0,0,1,GENBANK,99.0,Candida carpophila,FM180531.1,https://www.ncbi.nlm.nih.gov/nuccore/FM180531.1,,+,+,+w,+,+,-+,-,+w,+w,-+,-c,-c,+,+,-+,+w,-c,+,+,-,+w,+w,-+,-+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
